scheme	subset	query	target	pident	bits	query_labels	target_labels
default	all_test	YP_009237269.1	YP_010088071.1	74.8	3617.0	"[""polymerase""]"	"[""polymerase""]"
default	all_test	YP_009237275.1	YP_010088075.1	45.4	169.0	[]	[]
default	all_test	YP_009237270.1	YP_009268864.1	80.7	513.0	"[""nucleocapsid""]"	[]
default	all_test	YP_009237271.1	YP_010088073.1	75.9	575.0	[]	[]
default	all_test	YP_009237272.1	YP_009268865.1	57.3	823.0	"[""envelope_glycoprotein""]"	"[""envelope_glycoprotein""]"
default	all_test	YP_009237273.1	YP_009380546.1	36.2	291.0	[]	[]
default	all_test	YP_006347582.1	NP_958048.1	64.0	621.0	"[""nucleocapsid""]"	"[""nucleocapsid""]"
default	all_test	YP_006347583.1	NP_958049.1	38.3	301.0	[]	[]
default	all_test	YP_006347584.1	NP_958050.1	41.0	198.0	[]	[]
default	all_test	YP_006347585.1	NP_958051.1	52.3	136.0	[]	[]
default	all_test	YP_006347586.1	NP_958052.1	70.7	524.0	"[""membrane_matrix""]"	"[""membrane_matrix""]"
default	all_test	YP_006347587.1	NP_958053.1	49.9	531.0	[]	[]
default	all_test	YP_006347588.1	NP_958054.1	31.5	320.0	[]	"[""envelope_glycoprotein""]"
default	all_test	YP_006347589.1	NP_958055.1	66.4	3059.0	[]	[]
default	all_test	YP_006390090.1	YP_009466860.1	33.0	217.0	"[""capsid_head""]"	"[""capsid_head""]"
default	all_test	YP_006390091.1	YP_002364401.1	62.9	611.0	"[""polymerase""]"	"[""polymerase""]"
default	all_test	YP_006470628.1	YP_006470622.1	57.5	244.0	[]	[]
default	all_test	YP_006470629.1	YP_006470623.1	59.5	767.0	[]	[]
default	all_test	YP_006470630.1	YP_002117842.1	45.8	323.0	[]	[]
default	all_test	YP_006470631.1	NP_542619.1	38.6	59.0	[]	[]
default	all_test	YP_006470632.1	YP_002117845.1	40.8	355.0	[]	[]
default	all_test	YP_006470633.1	YP_656480.1	61.8	649.0	[]	[]
default	all_test	YP_009246491.1	YP_009246487.1	78.3	845.0	[]	[]
default	all_test	YP_009246486.1	YP_009449567.1	76.9	6284.0	"[""polymerase""]"	"[""polymerase""]"
default	all_test	YP_009246490.1	YP_009111285.1	61.0	1877.0	"[""envelope_glycoprotein""]"	"[""envelope_glycoprotein""]"
default	all_test	YP_009428564.1	YP_004901696.1	88.2	401.0	[]	[]
default	all_test	YP_009428561.1	YP_004901693.1	96.4	522.0	"[""capsid_head""]"	"[""capsid_head""]"
default	all_test	YP_009428565.1	YP_009508173.1	84.7	140.0	[]	[]
default	all_test	YP_009428562.1	YP_004901694.1	90.9	249.0	[]	[]
default	all_test	YP_009428563.1	YP_001974401.1	90.6	256.0	[]	[]
default	all_test	YP_009428566.1	YP_010245842.1	81.6	440.0	[]	[]
default	all_test	YP_009428567.1	YP_001974412.1	95.9	594.0	[]	[]
default	all_test	YP_009252370.1	YP_009252343.1	61.5	364.0	"[""capsid_head""]"	"[""capsid_head""]"
default	all_test	YP_009252372.1	YP_009252345.1	73.1	323.0	[]	[]
default	all_test	YP_009252371.1	YP_009252344.1	74.8	540.0	[]	[]
